m,TagName,
"2010-12-01 00:00:00","java","5668"
"2010-12-01 00:00:00","javascript","4955"
"2010-12-01 00:00:00","perl","500"
"2010-12-01 00:00:00","php","5376"
"2010-12-01 00:00:00","python","2474"
"2010-12-01 00:00:00","r","223"
"2010-12-01 00:00:00","ruby","1021"
"2010-12-01 00:00:00","swift","2"
"2011-01-01 00:00:00","assembly","134"
"2011-01-01 00:00:00","c","1458"
"2011-01-01 00:00:00","c#","7979"
"2011-01-01 00:00:00","c++","3484"
"2011-01-01 00:00:00","delphi","368"
"2011-01-01 00:00:00","go","15"
"2011-01-01 00:00:00","java","6529"
"2011-01-01 00:00:00","javascript","5417"
"2011-01-01 00:00:00","perl","477"
"2011-01-01 00:00:00","php","6405"
"2011-01-01 00:00:00","python","2894"
"2011-01-01 00:00:00","r","249"
"2011-01-01 00:00:00","ruby","1201"
"2011-01-01 00:00:00","swift","4"
"2011-02-01 00:00:00","assembly","146"
"2011-02-01 00:00:00","c","1633"
"2011-02-01 00:00:00","c#","8212"
"2011-02-01 00:00:00","c++","3437"
"2011-02-01 00:00:00","delphi","358"
"2011-02-01 00:00:00","go","16"
"2011-02-01 00:00:00","java","6858"
"2011-02-01 00:00:00","javascript","5589"
"2011-02-01 00:00:00","perl","481"
"2011-02-01 00:00:00","php","6692"
"2011-02-01 00:00:00","python","3007"
"2011-02-01 00:00:00","r","322"
"2011-02-01 00:00:00","ruby","1246"
"2011-02-01 00:00:00","swift","5"
"2011-03-01 00:00:00","assembly","192"
"2011-03-01 00:00:00","c","2109"
"2011-03-01 00:00:00","c#","9984"
"2011-03-01 00:00:00","c++","4175"
"2011-03-01 00:00:00","delphi","518"
"2011-03-01 00:00:00","go","3"
"2011-03-01 00:00:00","java","8460"
"2011-03-01 00:00:00","javascript","6764"
"2011-03-01 00:00:00","perl","604"
"2011-03-01 00:00:00","php","8082"
"2011-03-01 00:00:00","python","3746"
"2011-03-01 00:00:00","r","422"
"2011-03-01 00:00:00","ruby","1638"
"2011-03-01 00:00:00","swift","3"
"2011-04-01 00:00:00","assembly","159"
"2011-04-01 00:00:00","c","2034"
"2011-04-01 00:00:00","c#","9271"
"2011-04-01 00:00:00","c++","4162"
"2011-04-01 00:00:00","delphi","401"
"2011-04-01 00:00:00","go","7"
"2011-04-01 00:00:00","java","7892"
"2011-04-01 00:00:00","javascript","6880"
"2011-04-01 00:00:00","perl","550"
"2011-04-01 00:00:00","php","7637"
"2011-04-01 00:00:00","python","3335"
"2011-04-01 00:00:00","r","476"
"2011-04-01 00:00:00","ruby","1475"
"2011-04-01 00:00:00","swift","3"
"2011-05-01 00:00:00","assembly","158"
"2011-05-01 00:00:00","c","1822"
"2011-05-01 00:00:00","c#","10004"
"2011-05-01 00:00:00","c++","3877"
"2011-05-01 00:00:00","delphi","473"
"2011-05-01 00:00:00","go","36"
"2011-05-01 00:00:00","java","8560"
"2011-05-01 00:00:00","javascript","7316"
"2011-05-01 00:00:00","perl","581"
"2011-05-01 00:00:00","php","8085"
"2011-05-01 00:00:00","python","3515"
"2011-05-01 00:00:00","r","426"
"2011-05-01 00:00:00","ruby","1565"
"2011-05-01 00:00:00","swift","1"
"2011-06-01 00:00:00","assembly","139"
"2011-06-01 00:00:00","c","1762"
"2011-06-01 00:00:00","c#","9750"
"2011-06-01 00:00:00","c++","3806"
"2011-06-01 00:00:00","delphi","455"
"2011-06-01 00:00:00","go","34"
"2011-06-01 00:00:00","java","7896"
"2011-06-01 00:00:00","javascript","7677"
"2011-06-01 00:00:00","perl","567"
"2011-06-01 00:00:00","php","8025"
"2011-06-01 00:00:00","python","3465"
"2011-06-01 00:00:00","r","444"
"2011-06-01 00:00:00","ruby","1558"
"2011-06-01 00:00:00","swift","4"
"2011-07-01 00:00:00","assembly","141"
"2011-07-01 00:00:00","c","1657"
"2011-07-01 00:00:00","c#","9609"
"2011-07-01 00:00:00","c++","3848"
"2011-07-01 00:00:00","delphi","428"
"2011-07-01 00:00:00","go","26"
"2011-07-01 00:00:00","java","8150"
"2011-07-01 00:00:00","javascript","8107"
"2011-07-01 00:00:00","perl","658"
"2011-07-01 00:00:00","php","8665"
"2011-07-01 00:00:00","python","3658"
"2011-07-01 00:00:00","r","453"
"2011-07-01 00:00:00","ruby","1583"
"2011-07-01 00:00:00","swift","12"
"2011-08-01 00:00:00","assembly","159"
"2011-08-01 00:00:00","c","1824"
"2011-08-01 00:00:00","c#","10061"
"2011-08-01 00:00:00","c++","3952"
"2011-08-01 00:00:00","delphi","423"
"2011-08-01 00:00:00","go","40"
"2011-08-01 00:00:00","java","8682"
"2011-08-01 00:00:00","javascript","8902"
"2011-08-01 00:00:00","perl","611"
"2011-08-01 00:00:00","php","8910"
"2011-08-01 00:00:00","python","3822"
"2011-08-01 00:00:00","r","586"
"2011-08-01 00:00:00","ruby","1858"
"2011-08-01 00:00:00","swift","8"
"2011-09-01 00:00:00","assembly","155"
"2011-09-01 00:00:00","c","1914"
"2011-09-01 00:00:00","c#","9302"
"2011-09-01 00:00:00","c++","3943"
"2011-09-01 00:00:00","delphi","414"
"2011-09-01 00:00:00","go","26"
"2011-09-01 00:00:00","java","8318"
"2011-09-01 00:00:00","javascript","8187"
"2011-09-01 00:00:00","perl","500"
"2011-09-01 00:00:00","php","8060"
"2011-09-01 00:00:00","python","3513"
"2011-09-01 00:00:00","r","612"
"2011-09-01 00:00:00","ruby","1545"
"2011-09-01 00:00:00","swift","6"
"2011-10-01 00:00:00","assembly","212"
"2011-10-01 00:00:00","c","2138"
"2011-10-01 00:00:00","c#","9219"
"2011-10-01 00:00:00","c++","4343"
"2011-10-01 00:00:00","delphi","464"
"2011-10-01 00:00:00","go","40"
"2011-10-01 00:00:00","java","8557"
"2011-10-01 00:00:00","javascript","8030"
"2011-10-01 00:00:00","perl","555"
"2011-10-01 00:00:00","php","8063"
"2011-10-01 00:00:00","python","3620"
"2011-10-01 00:00:00","r","620"
"2011-10-01 00:00:00","ruby","1611"
"2011-10-01 00:00:00","swift","6"
"2011-11-01 00:00:00","assembly","211"
"2011-11-01 00:00:00","c","2195"
"2011-11-01 00:00:00","c#","9905"
"2011-11-01 00:00:00","c++","4478"
"2011-11-01 00:00:00","delphi","507"
"2011-11-01 00:00:00","go","65"
"2011-11-01 00:00:00","java","9641"
"2011-11-01 00:00:00","javascript","8687"
"2011-11-01 00:00:00","perl","606"
"2011-11-01 00:00:00","php","8681"
"2011-11-01 00:00:00","python","3877"
"2011-11-01 00:00:00","r","606"
"2011-11-01 00:00:00","ruby","1740"
"2011-11-01 00:00:00","swift","4"
"2011-12-01 00:00:00","assembly","228"
"2011-12-01 00:00:00","c","2003"
"2011-12-01 00:00:00","c#","9317"
"2011-12-01 00:00:00","c++","4357"
"2011-12-01 00:00:00","delphi","573"
"2011-12-01 00:00:00","go","52"
"2011-12-01 00:00:00","java","9204"
"2011-12-01 00:00:00","javascript","8334"
"2011-12-01 00:00:00","perl","538"
"2011-12-01 00:00:00","php","8337"
"2011-12-01 00:00:00","python","3619"
"2011-12-01 00:00:00","r","614"
"2011-12-01 00:00:00","ruby","1683"
"2011-12-01 00:00:00","swift","2"
"2012-01-01 00:00:00","assembly","169"
"2012-01-01 00:00:00","c","2233"
"2012-01-01 00:00:00","c#","10444"
"2012-01-01 00:00:00","c++","4547"
"2012-01-01 00:00:00","delphi","513"
"2012-01-01 00:00:00","go","37"
"2012-01-01 00:00:00","java","10138"
"2012-01-01 00:00:00","javascript","9603"
"2012-01-01 00:00:00","perl","563"
"2012-01-01 00:00:00","php","9304"
"2012-01-01 00:00:00","python","4206"
"2012-01-01 00:00:00","r","690"
"2012-01-01 00:00:00","ruby","1903"
"2012-01-01 00:00:00","swift","6"
"2012-02-01 00:00:00","assembly","232"
"2012-02-01 00:00:00","c","2406"
"2012-02-01 00:00:00","c#","10756"
"2012-02-01 00:00:00","c++","5105"
"2012-02-01 00:00:00","delphi","472"
"2012-02-01 00:00:00","go","31"
"2012-02-01 00:00:00","java","10945"
"2012-02-01 00:00:00","javascript","9996"
"2012-02-01 00:00:00","perl","613"
"2012-02-01 00:00:00","php","9921"
"2012-02-01 00:00:00","python","4492"
"2012-02-01 00:00:00","r","813"
"2012-02-01 00:00:00","ruby","2041"
"2012-02-01 00:00:00","swift","9"
"2012-03-01 00:00:00","assembly","262"
"2012-03-01 00:00:00","c","2725"
"2012-03-01 00:00:00","c#","11590"
"2012-03-01 00:00:00","c++","5229"
"2012-03-01 00:00:00","delphi","497"
"2012-03-01 00:00:00","go","47"
"2012-03-01 00:00:00","java","12384"
"2012-03-01 00:00:00","javascript","10706"
"2012-03-01 00:00:00","perl","607"
"2012-03-01 00:00:00","php","10873"
"2012-03-01 00:00:00","python","5028"
"2012-03-01 00:00:00","r","888"
"2012-03-01 00:00:00","ruby","2190"
"2012-03-01 00:00:00","swift","4"
"2012-04-01 00:00:00","assembly","277"
"2012-04-01 00:00:00","c","2666"
"2012-04-01 00:00:00","c#","11120"
"2012-04-01 00:00:00","c++","5296"
"2012-04-01 00:00:00","delphi","482"
"2012-04-01 00:00:00","go","69"
"2012-04-01 00:00:00","java","12016"
"2012-04-01 00:00:00","javascript","10668"
"2012-04-01 00:00:00","perl","598"
"2012-04-01 00:00:00","php","10389"
"2012-04-01 00:00:00","python","4916"
"2012-04-01 00:00:00","r","840"
"2012-04-01 00:00:00","ruby","1967"
"2012-04-01 00:00:00","swift","5"
"2012-05-01 00:00:00","assembly","227"
"2012-05-01 00:00:00","c","2483"
"2012-05-01 00:00:00","c#","11568"
"2012-05-01 00:00:00","c++","4991"
"2012-05-01 00:00:00","delphi","480"
"2012-05-01 00:00:00","go","69"
"2012-05-01 00:00:00","java","12175"
"2012-05-01 00:00:00","javascript","11515"
"2012-05-01 00:00:00","perl","642"
"2012-05-01 00:00:00","php","10918"
"2012-05-01 00:00:00","python","5091"
"2012-05-01 00:00:00","r","874"
"2012-05-01 00:00:00","ruby","1975"
"2012-05-01 00:00:00","swift","6"
"2012-06-01 00:00:00","assembly","201"
"2012-06-01 00:00:00","c","2308"
"2012-06-01 00:00:00","c#","11314"
"2012-06-01 00:00:00","c++","4644"
"2012-06-01 00:00:00","delphi","417"
"2012-06-01 00:00:00","go","72"
"2012-06-01 00:00:00","java","11095"
"2012-06-01 00:00:00","javascript","11222"
"2012-06-01 00:00:00","perl","740"
"2012-06-01 00:00:00","php","10561"
"2012-06-01 00:00:00","python","5270"
"2012-06-01 00:00:00","r","973"
"2012-06-01 00:00:00","ruby","1887"
"2012-06-01 00:00:00","swift","4"
"2012-07-01 00:00:00","assembly","201"
"2012-07-01 00:00:00","c","2369"
"2012-07-01 00:00:00","c#","12312"
"2012-07-01 00:00:00","c++","5273"
"2012-07-01 00:00:00","delphi","439"
"2012-07-01 00:00:00","go","76"
"2012-07-01 00:00:00","java","12240"
"2012-07-01 00:00:00","javascript","12313"
"2012-07-01 00:00:00","perl","666"
"2012-07-01 00:00:00","php","11714"
"2012-07-01 00:00:00","python","5720"
"2012-07-01 00:00:00","r","1118"
"2012-07-01 00:00:00","ruby","2058"
"2012-07-01 00:00:00","swift","9"
"2012-08-01 00:00:00","assembly","189"
"2012-08-01 00:00:00","c","2315"
"2012-08-01 00:00:00","c#","11934"
"2012-08-01 00:00:00","c++","5157"
"2012-08-01 00:00:00","delphi","403"
"2012-08-01 00:00:00","go","72"
"2012-08-01 00:00:00","java","12243"
"2012-08-01 00:00:00","javascript","12434"
"2012-08-01 00:00:00","perl","762"
"2012-08-01 00:00:00","php","11873"
"2012-08-01 00:00:00","python","5859"
"2012-08-01 00:00:00","r","1088"
"2012-08-01 00:00:00","ruby","2059"
"2012-08-01 00:00:00","swift","5"
"2012-09-01 00:00:00","assembly","222"
"2012-09-01 00:00:00","c","2528"
"2012-09-01 00:00:00","c#","11264"
"2012-09-01 00:00:00","c++","4906"
"2012-09-01 00:00:00","delphi","385"
"2012-09-01 00:00:00","go","130"
"2012-09-01 00:00:00","java","11614"
"2012-09-01 00:00:00","javascript","11165"
"2012-09-01 00:00:00","perl","662"
"2012-09-01 00:00:00","php","10971"
"2012-09-01 00:00:00","python","5247"
"2012-09-01 00:00:00","r","1057"
"2012-09-01 00:00:00","ruby","1955"
"2012-09-01 00:00:00","swift","7"
"2012-10-01 00:00:00","assembly","314"
"2012-10-01 00:00:00","c","3150"
"2012-10-01 00:00:00","c#","12712"
"2012-10-01 00:00:00","c++","5907"
"2012-10-01 00:00:00","delphi","478"
"2012-10-01 00:00:00","go","101"
"2012-10-01 00:00:00","java","13471"
"2012-10-01 00:00:00","javascript","12417"
"2012-10-01 00:00:00","perl","683"
"2012-10-01 00:00:00","php","11753"
"2012-10-01 00:00:00","python","6127"
